[  557.244573] KernelSU: tp_marker: unmark process: pid:10340, uid: 10223, comm:Jit thread pool
[  557.244577] KernelSU: tp_marker: unmark process: pid:10341, uid: 10223, comm:HeapTaskDaemon
[  557.244581] KernelSU: tp_marker: unmark process: pid:10342, uid: 10223, comm:ReferenceQueueD
[  557.244585] KernelSU: tp_marker: unmark process: pid:10343, uid: 10223, comm:FinalizerDaemon
[  557.244589] KernelSU: tp_marker: unmark process: pid:10344, uid: 10223, comm:FinalizerWatchd
[  557.244593] KernelSU: tp_marker: unmark process: pid:10345, uid: 10223, comm:binder:10337_1
[  557.244597] KernelSU: tp_marker: unmark process: pid:10346, uid: 10223, comm:binder:10337_2
[  557.244601] KernelSU: tp_marker: unmark process: pid:10347, uid: 10223, comm:binder:10337_3
[  557.244605] KernelSU: tp_marker: unmark process: pid:10350, uid: 10223, comm:Profile Saver
[  557.244608] KernelSU: tp_marker: unmark process: pid:10356, uid: 10223, comm:Primes-1
[  557.244611] KernelSU: tp_marker: unmark process: pid:10357, uid: 10223, comm:Primes-2
[  557.244615] KernelSU: tp_marker: unmark process: pid:10368, uid: 10223, comm:HwBinder:10337_
[  557.244619] KernelSU: tp_marker: unmark process: pid:10374, uid: 10223, comm:AsyncQueryWorke
[  557.244624] KernelSU: tp_marker: unmark process: pid:10408, uid: 10223, comm:queued-work-loo
[  557.244627] KernelSU: tp_marker: unmark process: pid:10422, uid: 10223, comm:GoogleApiHandle
[  557.244630] KernelSU: tp_marker: unmark process: pid:11633, uid: 10223, comm:ProcessStablePh
[  557.244634] KernelSU: tp_marker: unmark process: pid:13593, uid: 10223, comm:binder:10337_4
[  557.244638] KernelSU: tp_marker: unmark process: pid:13927, uid: 10223, comm:binder:10337_5
[  557.244644] KernelSU: tp_marker: unmark process: pid:10370, uid: 10479, comm:flar2.devcheck
[  557.244649] KernelSU: tp_marker: unmark process: pid:10376, uid: 10479, comm:Signal Catcher
[  557.244653] KernelSU: tp_marker: unmark process: pid:10377, uid: 10479, comm:perfetto_hprof_
[  557.244657] KernelSU: tp_marker: unmark process: pid:10378, uid: 10479, comm:Jit thread pool
[  557.244661] KernelSU: tp_marker: unmark process: pid:10381, uid: 10479, comm:HeapTaskDaemon
[  557.244665] KernelSU: tp_marker: unmark process: pid:10382, uid: 10479, comm:ReferenceQueueD
[  557.244669] KernelSU: tp_marker: unmark process: pid:10383, uid: 10479, comm:FinalizerDaemon
[  557.244673] KernelSU: tp_marker: unmark process: pid:10384, uid: 10479, comm:FinalizerWatchd
[  557.244676] KernelSU: tp_marker: unmark process: pid:10385, uid: 10479, comm:binder:10370_1
[  557.244679] KernelSU: tp_marker: unmark process: pid:10386, uid: 10479, comm:binder:10370_2
[  557.244683] KernelSU: tp_marker: unmark process: pid:10387, uid: 10479, comm:binder:10370_3
[  557.244686] KernelSU: tp_marker: unmark process: pid:10410, uid: 10479, comm:Thread-2
[  557.244690] KernelSU: tp_marker: unmark process: pid:10413, uid: 10479, comm:Thread-3
[  557.244694] KernelSU: tp_marker: unmark process: pid:10414, uid: 10479, comm:Profile Saver
[  557.244698] KernelSU: tp_marker: unmark process: pid:10417, uid: 10479, comm:binder:10370_4
[  557.244702] KernelSU: tp_marker: unmark process: pid:10426, uid: 10479, comm:pool-2-thread-1
[  557.244705] KernelSU: tp_marker: unmark process: pid:10427, uid: 10479, comm:pool-2-thread-2
[  557.244708] KernelSU: tp_marker: unmark process: pid:10429, uid: 10479, comm:GoogleApiHandle
[  557.244713] KernelSU: tp_marker: unmark process: pid:10430, uid: 10479, comm:pool-5-thread-1
[  557.244717] KernelSU: tp_marker: unmark process: pid:10431, uid: 10479, comm:pool-4-thread-1
[  557.244721] KernelSU: tp_marker: unmark process: pid:10432, uid: 10479, comm:pool-2-thread-3
[  557.244724] KernelSU: tp_marker: unmark process: pid:10437, uid: 10479, comm:ExpressIntegrit
[  557.244727] KernelSU: tp_marker: unmark process: pid:10442, uid: 10479, comm:queued-work-loo
[  557.244730] KernelSU: tp_marker: unmark process: pid:10450, uid: 10479, comm:PlayBillingLibr
